"Hour","Online store visitors","Sessions","Hour (previous_period)","Online store visitors (previous_period)","Sessions (previous_period)","Online store visitors (previous_period) ","Sessions (previous_period) "
"2026-08-28 00:00:00",8236,8275,"2026-08-27 00:00:00",6995,7029,17.741243745532522,17.72656138853322
"2026-08-28 01:00:00",3825,3838,"2026-08-27 01:00:00",3602,3613,6.191004997223764,6.227511763077775
"2026-08-28 02:00:00",389,389,"2026-08-27 02:00:00",1652,1655,-4.6568627450980395,-4.6568627450980395
"2026-08-28 03:00:00",0,0,"2026-08-27 03:00:00",1241,1246,,
"2026-08-28 04:00:00",0,0,"2026-08-27 04:00:00",1085,1088,,
"2026-08-28 05:00:00",0,0,"2026-08-27 05:00:00",1590,1632,,
"2026-08-28 06:00:00",0,0,"2026-08-27 06:00:00",3463,3471,,
"2026-08-28 07:00:00",0,0,"2026-08-27 07:00:00",6363,6382,,
"2026-08-28 08:00:00",0,0,"2026-08-27 08:00:00",9558,9588,,
"2026-08-28 09:00:00",0,0,"2026-08-27 09:00:00",11573,11625,,
"2026-08-28 10:00:00",0,0,"2026-08-27 10:00:00",11934,12001,,
"2026-08-28 11:00:00",0,0,"2026-08-27 11:00:00",13565,13642,,
"2026-08-28 12:00:00",0,0,"2026-08-27 12:00:00",12763,12843,,
"2026-08-28 13:00:00",0,0,"2026-08-27 13:00:00",11524,11585,,
"2026-08-28 14:00:00",0,0,"2026-08-27 14:00:00",11945,12020,,
"2026-08-28 15:00:00",0,0,"2026-08-27 15:00:00",11507,11573,,
"2026-08-28 16:00:00",0,0,"2026-08-27 16:00:00",10969,11044,,
"2026-08-28 17:00:00",0,0,"2026-08-27 17:00:00",11230,11280,,
"2026-08-28 18:00:00",0,0,"2026-08-27 18:00:00",10720,10783,,
"2026-08-28 19:00:00",0,0,"2026-08-27 19:00:00",11166,11226,,
"2026-08-28 20:00:00",0,0,"2026-08-27 20:00:00",11917,11975,,
"2026-08-28 21:00:00",0,0,"2026-08-27 21:00:00",13218,13295,,
"2026-08-28 22:00:00",0,0,"2026-08-27 22:00:00",14584,14653,,
"2026-08-28 23:00:00",0,0,"2026-08-27 23:00:00",12414,12479,,
